Name,AccountId,IsPrivate,Description,StageName,Amount,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,CampaignId,Pricebook2Id,SyncedQuoteId,ContractId,AI_Countries_Benefited_Copy__c,AI_Account_Role__c,AI_Administrative_Unit__c,AI_and_Machine_Learning__c,Loss_Reason_Picklist__c,AI_Role__c,Augmented_Virtual_Reality__c,Biotech__c,Blockchain__c,Topics__c,Connectivity__c,Countries_Involved__c,Country_Strategy_Priority__c,Is_Minute_Complete__c,ORP_ActualSignatureDate__c,External_Collaboration_Co_Financing__c,ORP_AmountInOriginalCurrency__c,Focus_Area__c,ICT_and_Big_Data__c,ORP_CRFReporting__c,ORP_Complexity__c,AI_Area__c,Intelligent_Location_Services__c,Multisector__c,Opportunity_Iniciators__c,Opportunity_Source__c,Other_IDB_Product_Related__c,ORP_DocumentTitle__c,ORP_Innovation__c,ORP_InnovativeFinance__c,ORP_Leverage__c,ORP_Maintenance__c,Quantum_Computing__c,Referred_Institution__c,ORP_OperationFocus__c,Robotics__c,Sector_Global__c,ORP_OriginalCurrency__c,Shared__c,Subsector_Global__c,X3D_Printing__c,Eligible_Pitch__c,ORP_Pipeline_Year__c,ORP_Potential__c,AI_Sub_Area__c,AI_Technology__c,ORP_PressRelease__c,Other__c,AI5Q_pdf_related__c,Loss_Reason__c,Country_Benefited__c,Beneficiary_Type__c,IDB_Lab_Amount__c,Instrument__c,Instrument_Type__c,Is5QCreated__c,Is5Qcomplete__c,Initiative__c,ORP_Reimbursable_NonReimbursable__c,ORP_Relevance__c,ORP_SGO_NSG__c,ORP_Country_Benefited__c,ORP_Id__c,ORP_Recipient_Fund__c,Is_Public_Pitch_Complete__c,DB_Competitor__c,Minute_Completion_Date__c,PSR_AreaSubAreaJustification__c,PSR_BeneficiaryTypeJustification__c,PSR_TypeOfFunds__c,PSR_TypeOfSession__c,Pitch_ID__c,Preliminary_ESG__c,Previous_Pitch_ID__c,Additional_Tags__c,SDG__c,Errors
Préstamos ENE 2017 y 2018 pendientes de firma,0012200000VBjroAAD,false,"Los préstamos EC-L1223 y EC-L1231, aprobados en octubre 2017 y septiembre 2018 respectivamente, aún no se han firmado los contratos de préstamo.",In Progress,320000000,,2019-06-30,Operations,,,Pipeline,,,,,EC,Administrator,,false,,,false,false,false,Energy;,false,,High,false,,EC-L1223 cuenta con cofinanciamiento JICA,,,false,,,,false,,IDB,Other,EC-L1231,,,,,,false,,,false,Energy,,,New Power Distribution & Transmission Projects,false,,,,,,,false,,,EC,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
Ejecucion de Cartera ENE/CEC,0012200000VBjroAAD,false,"Ejecución de la cartera ENE/CEC se ve afectada por la actual política fiscal, en donde el GdE desea que las empresas se hagan cargo del pago de sus respectivos préstamos. Los montos de contrapartida local (para financiar principalmente el IVA y otros gastos asociados) ya no serían transferidos por el MEF a los ejecutores.",In Progress,,,2019-05-31,Operations,,,Pipeline,,,,,EC,Administrator,,false,,,false,false,false,Energy;,false,,High,false,,"EC-L1136 y EC-L1147 con Cofinanciamiento Chino, y EC-L1160 con cofinanciamiento Koreano",,,false,,,,false,,IDB,Other,EC-L1147; EC-L1160; EC-L1219,,,,,,false,,,false,Energy,,,,false,,,,,,,false,,,EC,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
Sistemas de gestión para transporte rural de pasajeros,,false,"Apoyo técnico para diseño preliminar de base de datos que estructure toda la información de regulación y gestión de transporte interurbano, rural y metropolitano de pasajeros en jurisdicción de la DNT",Closed Won,15000,,2019-06-13,Collaboration,,,Closed,,,,,UY,Administrator,,false,,,false,false,false,Transport;,false,,Low,false,,,,,false,,,,false,,IDB,Online,,,,,,,false,,,false,Transport,,,Demand Management and Control of Urban Transport Systems,false,,,,,,,false,,,UY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Apoyo a la Fundación Gonzalo Rodríguez,0012200000VBjh6AAD,false,"Solicitud de apoyo para financiar actividades del plan de trabajo anual de la Fundación, incluyendo talleres y eventos durante Mayo Amarillo y otros",Closed Won,42200,,2019-07-19,Collaboration,,,Closed,,,,,UY,Administrator,,false,,,false,false,false,Transport;,false,,Low,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Transport,,,,false,,,,,,,false,,,UY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
"Electromovilidad, apoyo para políticas públicas",0012200000VBjhfAAD,false,Apoyo a la DNE y la Dirección de Cambio Climático del MVOTMA para estudios de base para la formulación de políticas públicas relacionadas con la electromoviildad,Initiation,,,2019-09-30,Technical Cooperation,,,Pipeline,,,,,UY,Administrator,,false,,,false,false,false,,false,,,false,,,,,false,,,,false,,,External Meeting,,,,,,,false,,,false,,,,,false,,,,,,,false,,,UY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Cooperación Técnica con la SEP sobre equidad educativa,0012200000VBkS2AAL,false,Apoyar a la Subsecretaría de Educación Básica en la implementación de la Nueva Escuela Mexicana con su enfoque en equidad y justicia educativa.,Closed Won,100000,,2019-08-30,Technical Cooperation,,,Closed,,,,,MX,Administrator,,false,,,false,false,false,Education;,false,,High,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Education,,,Primary Education,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
fAIr,0012200000VBkS5AAL,false,,In Progress,2000000,,2019-06-01,Technical Cooperation,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Education;,false,,High,false,,,,,false,,,,false,Private Firms and SME Development;Science and Technology,Shared,External Meeting,,,,,,,false,,,false,Education,,IDB;IDB Lab,,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Firms and SME Development:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Science and Technology:Multisector__c --
Proyecto para uso de Salesforce por parte de BANOBRAS en GEF,,false,"Como parte del proyecto  de formación de capacidades de contrapartes, podría incluirse al equipo de BANOBRAS como parte del proyecto de Salesforce.",Closed Lost,,,2019-08-31,Collaboration,,,Omitted,,,,,MX,Administrator,,false,,,false,false,false,Private Firms and SME Development;,false,,,false,,,,,false,,,,false,,IDB,Other,,,,,,,false,,,false,Private Firms and SME Development,,,Sanitation Urban,false,,,,,,,false,,"Esta oportunidad se abrió como una idea de conectividad con la contraparte, para usar Salesforce como herramienta de comunicación con BANOBRAS. Sin embargo, ha quedado aclarado que Salesforce es únicamente para uso interno, por lo que esta oportunidad no puede continuar vigente.",MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Sanitation Urban:Subsector_Global__c --
Programa de Saneamiento de Río Santiago,0012200000VBkS7AAL,false,Definición  de un programa para el saneamiento integral de la cuenca del río Santiago,In Progress,50000000,,2020-11-30,Technical Cooperation,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Water and Sanitation,,,Sanitation Urban,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Proyecto de apoyo a la reforma laboral,0012200000VBkS4AAL,false,,In Progress,300000000,,2019-07-27,Technical Cooperation,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Reform / Modernization of the State;,false,,High,false,,,,,false,,,,false,,IDB,Internal Meeting,ME-L1393,,,,,,false,0012200000VBkS4AAL,,false,Reform / Modernization of the State,,,Modernization & Administ ofjustice,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Desarrollo Regional  Agrícola,0012200000VBn0EAAT,false,,In Progress,,,2021-04-30,Loans,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Agriculture and Rural Development;,false,,Medium,false,,,,,false,,,,false,,IDB,External Meeting,ME-T1347,,,,,,false,,,false,Agriculture and Rural Development,,,Sustainable Agricultural Development,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Covered Green bonds in housing,0012200000VBjQrAAL,false,Ayudar a SHF a estructurar su primer covered green bond,Initiation,50000,,2019-11-21,Technical Cooperation,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Financial Markets;,false,,,false,,,,,false,,,,false,,IDB,Internal Meeting,,,,,,,false,,,false,Financial Markets,,,Financing for Environmental Sustainability,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Proyecto de analisis de datos para el seguimiento de egresados,0012200000VBjQoAAL,false,Iniciativa para cruzar datos administrativos de la SEP y del SAT con el objetivo de identificar la empleabilidad de los egresados de educación media superior y superior.,Initiation,,,2019-12-01,Technical Cooperation,,,Pipeline,,,,,,Administrator,,false,,,false,false,false,Social Investment;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Social Investment,,,Labor Policy,false,,,,,,,false,,,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Colaboración con CFE para apoyar micro redes  para electrificación,0012200000VBjV2AAL,false,Se quiere encontrar la forma de apoyar los esfuerzos técnicos y financieros para electrificación a través de micro-redes.,Initiation,,,2019-11-22,Collaboration,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Energy;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Energy,,,Rural Electrification,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Financiar acciones para la seguridad hídrica del valle de México,0012200000VBkS9AAL,false,"Llevamos a cabo el ""Estudio de Planeación y Financiamiento de la Rehabilitación del Drenaje Primario de la Ciudad de México"". Valoración técnica de los procesos de evaluación del estado de la infraestructura, las técnicas de rehabilitación, la cartera potencial de obras, sus montos y escenarios de inversión y financiamiento. Se da especial énfasis a la exploración de innovaciones tecnológicas y financieras. La finalidad es detectar oportunidades para financiar la rehabilitación de la red primaria, más de 100 km de colectores, en forma directa o mediante esquemas de participación privada con BID-Lab.",Closed Lost,500000,,2020-10-15,Operations,,,Omitted,,,,,MX,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Water and Sanitation;,false,,Medium,false,,,,,false,,,,false,,IDB,Other,,,,,,,false,,,false,Water and Sanitation,,,Urban Drainage,false,,,,,,,false,,"Concluyó el proyecto. No se generó ninguna operación a raíz del mismo, sólo la  experiencia técnica.",MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
Evento Igualdad de Género en el sector privado,0012200000VBkS6AAL,false,"Derivado de acercamientos del BID con el Consejo Mexicano de Negocios, se  realizará un evento conjunto con el Consejo Mexicano de Negocios, BID, BID Invest, ONU Mujeres México y Pacto Global de las Naciones Unidas para presentar la herramienta WEP desarrollada por BID Invest  a fin de tener un diagnóstico global sobre la situación de igualdad en las empresas que forman parte de este Consejo Mexicano de Negocios y poder accionar planes de acción para aumentar los indicadores globales en materia de género y diversidad de este Consejo, con la posibilidad de escalar este proyecto a otros grupos empresariales de alto valor en México como el Consejo Coordinador Empresarial, lo cual, favorece el posicionamiento de la herramienta del BID como el principal mecanismo de autodiagnóstico de género y diversidad para el sector privado mexicano y en mayor escala podría derivar en oportunidades de negocio en el país paras BID Invest.",In Progress,0,,2019-07-31,Events,,,Pipeline,,,,,,Administrator,,false,,,false,false,false,Social Investment;,false,,,false,,,,,false,,,,false,,Shared,External Meeting,,,,,,,false,,,false,Social Investment,,IDB;IDB Invest,Gender Equality & WomenS Empowerment,false,,,,,,,false,,,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Evaluación AquaRating OOAPAS Morelia,0012200000VBkRsAAL,false,"Incorporación del operador de Morelia, Mich., al estándar AquaRating en el marco de la cooperación técnica para el PRODI (ME-L1176) y mejora continua (ME-T1360). Las evaluaciones derivan en proyectos de cooperación y en notas técnicas, como parte del apoyo a la misión de CONAGUA.",In Progress,0,,2019-11-15,Technical Cooperation,,,Pipeline,,,,,MX,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Water and Sanitation;,false,,Low,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Water and Sanitation,,,Water Supply Urban,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Evaluación AquaRating Agua de Puebla 2019,0012200000VBkRsAAL,false,Evaluación AquaRating Agua de Puebla. Empresa de agua concesionada al sector privado que busca certificarse por motivos reputacionales. Aportará conocimiento y abre posibilidades de colaboración en el marco de proyectos con el sector privado. Contribuye a mantener una buena imagen del BID como socio técnico del sector.,Closed Won,0,,2019-11-15,Collaboration,,,Closed,,,,,MX,Administrator,Vice Presidency for Sectors and Knowledge,false,,Responsible,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,IDB,Other,Se llevaron a cabo dos evaluaciones AquaRating. Están interesados en financiamiento (privado),,,,,,false,,,false,Water and Sanitation,,,Water Supply Urban,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
Evaluación AquaRating CAPDAM Manzanillo,0012200000VBkRsAAL,false,"Evaluación AquaRating del operador del puerto de Manzanillo, como parte de una iniciativa del Estado de Colima para reformar su sector agua y saneamiento. Las evaluaciones derivan en cooperaciones técnicas para la mejora de prácticas, en el marco del PRODI (ME-L1176) y mejora continua (ME-T1360), de las que podemos obtener notas técnicas y apoyar la misión de CONAGUA. Con Colima se ha hablado de la posibilidad de instrumentar un programa estatal cuando se determine la manera de radicar operaciones en ese ámbito de gobierno.",Closed Lost,0,,2019-11-15,Technical Cooperation,,,Omitted,,,,,MX,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Water and Sanitation;,false,,High,false,,,,,false,,,,false,,IDB,Other,,,,,,,false,,,false,Water and Sanitation,,,Water Supply Urban,false,,,,,,,false,,El operador decidió no evaluarse en AquaRating. Podría solicitarlo nuevamente en el futuro.,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
Evaluación AquaRating CIAPACOV Colima,0012200000VBkRsAAL,false,"Evaluación AquaRating del operador de la Ciudad de Colima, Col., y su zona conurbada, como parte de una iniciativa del Estado de Colima para reformar su sector agua y saneamiento. Las evaluaciones derivan en cooperaciones técnicas para la mejora de prácticas, en el marco del PRODI (ME-L1176) y mejora continua (ME-T1360), de las que podemos obtener notas técnicas y apoyar la misión de CONAGUA. Con Colima se ha hablado de la posibilidad de instrumentar un programa estatal cuando se determine la manera de radicar operaciones en ese ámbito de gobierno.",Initiation,0,,2019-11-15,Operations,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,IDB,Other,,,,,,,false,,,false,Water and Sanitation,,,Water Supply Urban,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
