PSR_Milestone_ID__c,Name,PSR_Description__c,PSR_Due_Day__c,PSR_Means_of_verification__c,PSR_Milestone_Code__c,PSR_Responsible__c,PSR_Type__c,PSR_Value__c,Due_Day_Help_On_New__c,Errors
AR-M1072ML10,Planes de negocio aprobados para la 2da cohorte.,Planes de negocio aprobados para la 2da cohorte.,859,Planes de negocio aprobados.,,Project Coordinator,Active,400,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML11,Capacitación a 295 mentores de segunda cohorte realizada.,Capacitación a 295 mentores de segunda cohorte realizada.,859,Registros capacitación realizada.,,Project Coordinator,Active,295,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML12,266 parejas de mentoría formadas (2da cohorte),266 parejas de mentoría formadas (2da cohorte),859,Registos UE.,,Project Coordinator,Active,266,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML13,Segunda etapa de medición del desarrollo de habilidades blandas realizada a 75 e,Segunda etapa de medición del desarrollo de habilidades blandas realizada a 75 emprendedores en tratamiento (1er cohorte),859,Registros UE.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML14,80 % de las relaciones de mentoría en funcionamiento (2da cohorte),80 % de las relaciones de mentoría en funcionamiento (2da cohorte),1040,Registros UE.,,Project Coordinator,Active,80,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML15,Primer etapa de la medición del desarrollo de habilidades blandas realizada a 21,Primer etapa de la medición del desarrollo de habilidades blandas realizada a 215 emprendedores en tratamiento del 2do. cohorte.,1040,Registros UE.,,Project Coordinator,Active,215,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML16,Datos provisto por Impulsar para Estudio Fase Piloto,Datos provisto por Impulsar para Estudio Fase Piloto,1040,Registros UE.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML2,Sistema de monitoreo diseñado y línea de base construida.,Sistema de monitoreo diseñado y línea de base construida.,494,Sistema funcionando.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML3,Planes de negocio aprobados.,Planes de negocio aprobados.,494,Registros UE.,,Project Coordinator,Active,180,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML4,Capacitación 110 mentores realizada.,Capacitación 110 mentores realizada.,494,Listado de las capacitaciones. Registros UE.,,Project Coordinator,Active,110,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML5,120 parejas de mentoría formadas.,120 parejas de mentoría formadas.,494,Registros UE.,,Project Coordinator,Active,120,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML6,Sistema de monitoreo actualizado.,Sistema de monitoreo actualizado.,675,Evidencia del sistema actualizado.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML7,Porcentaje de las relaciones de mentoría en funcionamiento.,Porcentaje de las relaciones de mentoría en funcionamiento.,675,Registros UE.,,Project Coordinator,Active,80,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML8,Adaptación de BA Emprende a curricula Impulsar.,Adaptación de BA Emprende a curricula Impulsar.,675,Registros UE.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML9,Primer etapa de la medición del desarrollo de HSE realizada a 90 emprendedores e,Primer etapa de la medición del desarrollo de HSE realizada a 90 emprendedores en tratamiento.,675,Registros UE.,,Project Coordinator,Active,90,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML2,"Diagnóstico del ecosistema, mapeo de actores, oportunidades, necesidades, inicia","Diagnóstico del ecosistema, mapeo de actores, oportunidades, necesidades, iniciativas y redes",153,Informe de diagnóstico,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML3,Al menos una actividad de formación de mentores desarrollada,Al menos una actividad de formación de mentores desarrollada,304,"Listado de asistentes, material y registro visual de actividad de formación",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML4,Endeavor Potencia Innovación destinado a emprendedores desarrollado -Al menos un,Endeavor Potencia Innovación destinado a emprendedores desarrollado -Al menos un Programa HIT desarrollado,427,"Listado de asistentes, material y registro visual del evento y programa de capacitación",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML5,Al menos un meet up entre investigadores y emprendedores desarrollado -Al menos,Al menos un meet up entre investigadores y emprendedores desarrollado -Al menos cuatro actividades de capacitación a stakeholders desarrolladas,487,"Listado de asistentes, material y registro visual de meet up y actividades de capacitación",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML6,Evento Conecta Inversor desarrollado -Endeavor Potencia Inversión destinado a in,Evento Conecta Inversor desarrollado -Endeavor Potencia Inversión destinado a inversores desarrollado,609,"Listado de asistentes, material y registro visual de los eventos",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML7,Al menos dos actividades de capacitación a stakeholders desarrolladas,Al menos dos actividades de capacitación a stakeholders desarrolladas,365,"Listado de asistentes, material y registro visual de actividad de capacitación",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1075ML8,Al menos 2 iniciativas nuevas de formación en emprendimiento en universidades de,Al menos 2 iniciativas nuevas de formación en emprendimiento en universidades de Salta y/o Tucumán,731,Currículas y listados de alumnos de iniciativas de formación,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML2,Politica de gestión del riesgo cambiario desarrollada,Politica de gestión del riesgo cambiario desarrollada,274,Envío de documentación de soporte del cumplimiento al Banco.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML3,Mejora de comunicaciones en redes internas y externas implementada.,Mejora de comunicaciones en redes internas y externas implementada.,335,Envío de documentación de soporte del cumplimiento al Banco. Verificación en visita de revision expost del Banco.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML4,Encuesta de segmentación y necesidades adaptada y inducción del equipo de encues,Encuesta de segmentación y necesidades adaptada y inducción del equipo de encuestadores realizada,274,Envío al banco de encuesta y materiales/registro visual/listado de asistentes de capacitaciones,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML5,Informe de conclusiones de la encuesta de segmentación y relevamiento de necesid,Informe de conclusiones de la encuesta de segmentación y relevamiento de necesidades.,487,Envío al banco de informe con conclusions sobre a) segmentación y ii) necesidades.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML6,Sistema de tabletas instalado y en funcionamiento,Sistema de tabletas instalado y en funcionamiento,457,Envío al Banco de informe de funcionamiento técnico aprobado por PMA.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML7,Número de socias rurales que reciben capacitación o asistentcia técnica específi,Número de socias rurales que reciben capacitación o asistentcia técnica específica para zonas rurales.,609,"Listado de asistentes, material y registro visual de capacitaciones y asistencias técnicas.",,Project Coordinator,Active,300,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML8,Servidores y capacidad de almacenamiento fortalecida.,Servidores y capacidad de almacenamiento fortalecida.,731,Envío al banco de informe de funcionamiento técnico aprobado por PMA.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-S1007ML9,"Cantidad de productos de crédito, salud, y capacitación adaptados a las necesida","Cantidad de productos de crédito, salud, y capacitación adaptados a las necesidades de la población rural.",913,Envío de documentación de soporte del cumplimiento al Banco.,,Project Coordinator,Active,7,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1196ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1209ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1233ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1233ML2,2000 colmenas instaladas y en proceso de transición en la certificación orgánica,2000 colmenas instaladas y en proceso de transición en la certificación orgánica,180,"Informe Técnico de la Unidad Ejecutora conteniendo base de datos de colmenas, registro fotográfico y/o video.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1233ML3,Sistema de gestión integrado con trazabilidad para productores (producción hasta,Sistema de gestión integrado con trazabilidad para productores (producción hasta venta),365,Sistema en implementación y verificado mediante acceso al mismo.,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1233ML4,Estrategia	de	participación	de mujeres y jóvenes ejecutada al 30%,Estrategia	de	participación	de mujeres y jóvenes ejecutada al 30%,548,Documento de estratégia e informe de avance,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1233ML5,Sistema de trazabilidad para mercado externo funcionando y con 200 productores p,Sistema de trazabilidad para mercado externo funcionando y con 200 productores participando.,731,Sistema en implementación y verificado mediante acceso al mismo.,,Project Coordinator,Active,4,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1233ML6,4 nuevos productos desarrollados y en mercadeo.,4 nuevos productos desarrollados y en mercadeo.,913,Registros de venta de nuevos productos desarrollados,,Project Coordinator,Active,5,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-T1233ML7,6 nuevos clientes en el mercado externo,6 nuevos clientes en el mercado externo,1096,Registros de Coopsol,,Project Coordinator,Active,6,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BA-M1014ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BA-M1014ML2,Laboratory Retrofitting Completed,Laboratory Retrofitting Completed,365,Report from Project Coordinator,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BA-M1014ML3,Community Outreach and Engagement Plan finalized,Community Outreach and Engagement Plan finalized,548,Final Plan - submitted as part of a report by the Project Coordinator,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BA-M1014ML4,Draft business model to support sustainability of Bellairs Institute Coral Garde,Draft business model to support sustainability of Bellairs Institute Coral Gardening operations completed,913,Draft Business Model - submitted as part of a report by the Project Coordinator,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BA-M1014ML5,3 Academic partnerships for coral stewardship forged with Bellairs Institute,3 Academic partnerships for coral stewardship forged with Bellairs Institute,1096,Report by Project Coordinator confirming details of the academic partnerships forged with Bellairs,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BA-M1014ML6,Case Study,Case Study,1278,Final Case Study,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BA-T1064ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BH-T1060ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BL-T1112ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BL-T1122ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BO-M1070ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BO-M1071ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BO-M1071ML2,(i) Herramienta de selección potencial emprendedor (adaptada para Bolivia) valid,"(i) Herramienta de selección potencial emprendedor (adaptada para Bolivia) validada (ii) 4 Formadores contratados, bajo perfil definido para el Proyecto (iii) Perfil del equipo de Asesores definido para el Proyecto (iv) Conceptualización del sistema de mo",173,"(i) Herramienta de selección potencial emprendedor (adaptada para Bolivia) e informe de validación (ii) - Perfil Formadores, aprobado por ICCO; - Contratos de consultoría (iii) Documento de perfil del equipo de Asesores, aprobado por ICCO (iv) Flujos de r",,Project Coordinator,Active,4,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BO-T1346ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML10,200 of women that have increased their annual income in 20% or more after the fi,200 of women that have increased their annual income in 20% or more after the first year of operating their Kiteiras business,731,Distributors' report,,Project Coordinator,Active,200,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML11,500 new women incorporated to the Kiteiras inclusive distribution network,500 new women incorporated to the Kiteiras inclusive distribution network,731,Distributors' report,,Project Coordinator,Active,500,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML12,300 new formalized Kieteiras businesses,300 new formalized Kieteiras businesses,731,Distributors' report,,Project Coordinator,Active,300,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML13,600 new women that have increased their annual income in 20% or more after the f,600 new women that have increased their annual income in 20% or more after the first year of operating their Kiteiras business,913,Distributors' report,,Project Coordinator,Active,600,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML14,600 new women incorporated to the Kiteiras inclusive distribution network,600 new women incorporated to the Kiteiras inclusive distribution network,913,Distributors' report,,Project Coordinator,Active,600,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML15,300 new formalized Kiteiras businesses,300 new formalized Kiteiras businesses,913,Distributors' report,,Project Coordinator,Active,300,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML2,Market research study/strategy developed for each area of intervention,Market research study/strategy developed for each area of intervention,183,Market Research Document approved,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML3,WVB- Danone Model adjusted for being scale,WVB- Danone Model adjusted for being scale,183,WVB-Danone model documentation,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML4,300 new women incorporated to the Kiteiras inclusive distribution network,300 new women incorporated to the Kiteiras inclusive distribution network,365,Distributors' report,,Project Coordinator,Active,300,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML5,150 new formalized Kieteiras businesses,150 new formalized Kieteiras businesses,365,Distributors' report,,Project Coordinator,Active,150,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML6,800 tons Danone products' sales,800 tons Danone products' sales,365,Danone's sales report,,Project Coordinator,Active,800,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML7,400 new women incorporated to the Kiteiras inclusive distribution network,400 new women incorporated to the Kiteiras inclusive distribution network,548,Distributors' report,,Project Coordinator,Active,400,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML8,200 new formalized Kieteiras businesses,200 new formalized Kieteiras businesses,548,Distributors' report,,Project Coordinator,Active,200,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1133ML9,1200 tons Danone products' sales,1200 tons Danone products' sales,548,Danone's sales report,,Project Coordinator,Active,1200,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1136ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1137ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1137ML2,Primera versión de la herramienta SPCE desarrollada  y validada con BID,Primera versión de la herramienta SPCE desarrollada  y validada con BID,639,-SPCE desarrollado y validado;  -Documento de parámetros de interoperabilidad  aprobado  por CNI y el FOMIN  -Documentación de pruebas realizadas,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1137ML3,"Mapeo de los procesos “TAL CUAL Y MEJORAS” en los países Uruguay, Paraguay y Chi","Mapeo de los procesos “TAL CUAL Y MEJORAS” en los países Uruguay, Paraguay y Chile",913,Plan  de Acción del mapeo aprobado por los aliados -Procesos mapeados y documentados -Memorias de reuniones y eventos realizados en el mapeo,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1137ML4,Sistema de información INTradeBID-SPCE   transferido a  3 organizaciones  partic,Sistema de información INTradeBID-SPCE   transferido a  3 organizaciones  participantes en la alianza colaborativa,913,- 3 organizaciones en la región capacitadas en el uso de SPCE -1 Guía Comercial de uso del SPCE  -Registro de aliados participantes en actividades  de transferencia tecnológica,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-M1139ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-Q0023ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML2,Pré-Condições Especiais (Designação do Coordenador e outras condições padrão).,Pré-Condições Especiais (Designação do Coordenador e outras condições padrão).,91,Documentos formais assinados pela presidência do BD (em papel físico - não podem ser eletrônicos).,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML3,"Ter desembolsado pelo menos US$195.000 do empréstimo, se os desembolsos da coope","Ter desembolsado pelo menos US$195.000 do empréstimo, se os desembolsos da cooperação técnica excederem US$60.000.",183,Registro WLMS de 15% de desembolso de empréstimos,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML4,Currículo de treinamento no novo produto de crédito.,Currículo de treinamento no novo produto de crédito.,274,Documento eletrônico carregado no sistema PSR.,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML5,Desembolsou pelo menos US$325.000 do empréstimo se os recursos de cooperação téc,Desembolsou pelo menos US$325.000 do empréstimo se os recursos de cooperação técnica desembolsados excederem US$100.000.,365,Registro WLMS de 35% de desembolso de empréstimo.,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML6,500 famílias sensibilizadas sobre produtos de água e saneamento.,500 famílias sensibilizadas sobre produtos de água e saneamento.,457,"Documentos eletrônicos carregados no sistema PSR com: lista de presença, fotografias de eventos de conscientização e datas de conscientização.",,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML7,450 famílias com soluções de água e saneamento financiadas pelo projeto.,450 famílias com soluções de água e saneamento financiadas pelo projeto.,457,Relatórios do portfólio de clientes do BF. Documentos eletrônicos carregados no sistema PSR.,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1376ML8,Crédito de carteira financiado pelo projeto no valor de US $ 1.500.000.,Crédito de carteira financiado pelo projeto no valor de US $ 1.500.000.,761,Relatórios do portfólio de clientes do BF. Documentos eletrônicos carregados no sistema PSR.,,Project Coordinator,Active,28,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
BR-T1403ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML2,Programa de Fortalecimiento y Asistencia Tecnica Diseñado y Documentado y con  T,Programa de Fortalecimiento y Asistencia Tecnica Diseñado y Documentado y con  Toma de Razón de Reglamento,90,Sistema Informacion del Proyecto. Dicumento aprobado,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML3,Primera Convocatoria Programa Fortalecimiento,Primera Convocatoria Programa Fortalecimiento,120,Publicacion realizada,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML4,Seleccion AOI,Seleccion AOI,240,Acta Seleccion,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML5,Diagnósticos y Propuesta de Planes de Fortalecimiento Aprobados,Diagnósticos y Propuesta de Planes de Fortalecimiento Aprobados,450,Documento Diagnostico y Planes Fortalecimiento,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML6,Propuesta Modelo de Negocios financiamiento empresas asociativas aprobado,Propuesta Modelo de Negocios financiamiento empresas asociativas aprobado,450,Documento aprobado,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML7,Planes de Fortalecimiento Primer Cohorte Implementados,Planes de Fortalecimiento Primer Cohorte Implementados,720,Informe implementacion planes,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1068ML8,Modelo fortalecimiento IFNBs documentado,Modelo fortalecimiento IFNBs documentado,720,Documento aprobado,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1069ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1069ML2,Conformación de directorio del proyecto.,Conformación de directorio del proyecto.,60,Sistema Informacion del Proyecto,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
CH-M1069ML3,"Plataforma de apoyo para beneficiarios capacitación, online.","Plataforma de apoyo para beneficiarios capacitación, online.",90,Sistema Informacion del Proyecto,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
